a	art. 一（个）；每一（个）
melancholy	n. 忧郁的 adj. 忧郁，悲伤
melody	n. 旋律， 曲调； 悦耳的音乐
melon	n. 瓜，甜瓜
melt	v. 融化； 溶化； 消散
member	n. 成员，会员
membership	n. 会员身份， 会籍； 全体会员， 会员数
memo	n. 备忘录
memorable	adj. 值得纪念的
memorandum	n. 备忘录
memorial	adj. 纪念的，悼念的 n. 纪念碑， 纪念堂， 纪念仪式
memorize	vt. 记住， 熟记
memory	n. 记忆；回忆；存储
menace	n. 具有危险性的人；威胁，威吓 vt. 威胁， 威吓
mend	v. 修补，缝补；修理
mental	adj. 心理的， 精神的， 思想上的； 精神病的； 智力的
mention	v. 提及，说起 n. 提及，说起
menu	n. 菜单
merchandise	n. 商品，货物
merchant	n. 商人；零售商
merciful	adj. 仁慈的，宽大的
mercury	n. 水银， 汞
mercy	n. 仁慈， 宽容； 恩惠； 幸运
mere	adj. 仅仅的， 纯粹的
merely	adv. 仅仅， 只不过
merge	v. 结合， 合并， 合为一体
merit	n. 长处，优点；价值；功劳，成绩 vt. 值得， 应受
merry	adj. 欢乐的， 愉快的
mesh	n. 网眼，筛孔，网络
mess	n. 凌乱状态，混乱的局面；困境 vt. 弄糟， 弄脏， 搞乱
message	n. 信息，消息；启示，要旨，寓意
messenger	n. 送信人， 信使
metabolic	adj. 代谢作用的， 新陈代谢的
metal	n. 金属，金属制品
metallic	adj. 金属的， 金属制的； 有金属特性的， 像金属的
metallurgy	n. 冶金学，冶金术
meter	n. 计量器；计，表
method	n. 方法，办法；教学法
metre	n. 米，公尺
metric	adj. 公制的， 米制的
metropolitan	adj. 主要都市的 n. （东正教和天主教的）大主教
microcomputer	n. 微型计算机，微机
microphone	n. 扩音器， 话筒， 麦克风
microprocessor	n. 微信息处理机
microscope	n. 显微镜
microscopic	adj. 显微镜的；微观的，极小的
microwave	n. 微波
midday	n. 正午，中午
middle	n. 中部 adj. 中部的
midnight	n. 午夜，子夜，夜半
midst	n. 中部； 中间； 当中
might	v. 可能，会，也许
mighty	adj. 强大的；巨大的
migrant	n. 移居者， 移民； 候鸟， 迁移动物
migrate	vi. 迁徙， 移栖； 移居， 迁移
migration	n. 迁徙，移居
mild	adj. 温柔的； 温暖的； 轻微的
mile	n. 英里
milestone	n. 里程碑
militant	adj. 激进的；好斗的 n. 激进分子， 斗士
military	adj. 军事的；军用的 n. 军队， 武装力量
milk	n. 乳，牛奶 v. 挤（奶）
milky	adj. 牛奶的；乳白色的
mill	v. 磨， 碾 n. 磨坊；碾磨机；制造厂，工厂
millimetre	n. 毫米
million	num. 百万 n. 许多
millionaire	n. 百万富翁， 大富翁
mind	n. 头脑；理智；记忆
mine	pron. 我的
miner	n. 矿工
mineral	n. 矿物 adj. 矿物的
mingle	vi. 混合起来， 相混合； 相交往， 相往来 vt. 使混合，使相混
miniature	adj. 小型的，微小的 n. 微小的模型， 缩影； 微型画， 微型人物像
minibus	n. 小型公共汽车
minimal	adj. 最小的， 最低限度的
minimize	vt. 使减少到最低限度； 极力贬低， 对…作最低估计
minimum	adj. 最低的， 最小的 n. 最低限度，最小量
mining	n. 采矿业
minister	n. 部长， 大臣； 公使， 外交使节； 牧师
ministry	n. （政府的）部
minor	vi. 辅修 adj. 较小的，较少的；次要的 n. 未成年人；辅修科目
minority	n. 少数； 少数民族
mint	n. 造币厂；巨额钱财
minus	adj. 负面的；使显得有缺陷的 prep. 减（去）
minute	n. 分，分钟；一会儿
miracle	n. 奇迹， 令人惊奇的人
mirror	n. 镜子 v. 与〔另一事物〕相似；反映
miscalculation	n. 算错，误算
mischief	n. 调皮，捣蛋，胡闹
misconception	n. 误解
miser	n. 守财奴，吝啬鬼
miserable	adj. 痛苦的； 悲惨的； 令人难受的
misery	n. 痛苦， 苦恼， 苦难； 悲惨的境遇， 贫苦
misfortune	n. 不幸， 厄运， 逆境； 不幸事故， 灾难， 灾祸
misguide	v. 误导
misguided	adj. 被误导的
misinterpret	v. 误解
mislead	vt. 给…错误印象， 使误解； 把…带错路； 使误入歧途
misled	v. (mislead过去式)误导
mismanagement	n. 管理不当
miss	n. 小姐
missile	n. 导弹， 飞弹， 投射物
missing	adj. 缺掉的， 失踪的
mission	n. 使命， 任务； 使团
missionary	n. 传教士
mist	v. 蒙上薄雾； 模糊 n. 薄雾
mistake	n. 错误 v. 误解，弄错
Mister	n. 先生
mistress	n. 情妇； 主妇， 女主人
misunderstand	v. 误解，误会，曲解
mitten	n. 连指手套
mix	v. 使混合，混淆
mixer	n. 搅拌器
mixture	n. 混合， 混合物
moan	vi. 呻吟，呜咽；抱怨，发牢骚 vt. 抱怨 n. 呻吟声， 呜咽声； 怨声， 牢骚
mob	n. 暴民，乌合之众 vt. 成群围住， 聚众袭击
mobile	adj. 运动的；流动的；多变的 n. 移动电话
mobility	n. 流动性；活动性
mobilize	vi. 动员起来 vt. 动员；调动，鼓动起
mock	vi. 嘲笑，嘲弄 adj. 模拟的， 演习的； 假的， 假装的 vt. 嘲笑，嘲弄；模仿
mode	n. 方式；样式
model	n. 模型；模特儿
moderate	adj. 中等的； 温和的， 稳健的； 有节制的 v. 和缓， 减轻； 节制
moderately	adv. 适度地，适中
modern	adj. 现代的，近代的
modernization	n. 现代化
modernize	v. 现代化
modest	adj. 谦虚的； 适中的； 羞怯的
modesty	n. 谦逊；端庄
modification	n. 修改
modify	vt. 更改， 修改； 修饰
modulate	v. 调整，调节（声音）
module	n. 组件， 模块， 模件； 舱
moist	adj. 湿润的， 潮湿的
moisture	n. 潮湿， 湿气
mold	n. 霉，霉菌；模型，铸模；性格 vt. 用模子制作， 塑造； 使形成， 影响…的形成
molecular	adj. 分子的；克分子的
molecule	n. 分子，克分子
moment	n. 时刻；片刻，瞬间
momentary	adj. 瞬息间的，片刻的
momentum	n. 动力， 冲力， 势头； 动量
monarch	n. 君主，最高统治者
Monday	n. 星期一
monetary	adj. 钱的， 货币的； 金融的
money	n. 货币；金钱；财富
monitor	n. 班长；监视器，检测器；显示器 vt. 监听， 检测
monk	n. 和尚，僧侣，修道士
monkey	n. 猴子，猿
monopolize	v. 垄断
monopoly	n. 垄断， 专卖； 垄断物， 垄断商品， 专卖商品
monster	adj. 大的， 庞大的 n. 怪物；极其残酷的人；巨人，巨兽，巨大的东西
monstrous	adj. 极大的；可怕的
month	n. 月，月份
monthly	adj. 每月的 adv. 每月
monument	n. 纪念碑， 纪念馆； 历史遗迹
mood	n. 心情， 情绪； 语气
moon	n. 月球，月亮；卫星
moor	v. 使停泊；使固定
mop	n. 拖把，墩布；洗碗刷
moral	adj. 道德的，有道德的 n. 品行， 道德规范； 寓意
morality	n. 道德， 道德性； 德行， 品行； 道德观， 道德规则
more	adj. 更多的 adv. 更
moreover	adv. 而且， 再者， 此外
morning	n. 早晨，上午
mortal	adj. 终有一死的；致命的；你死我活的，不共戴天的 n. 凡人， 人类
mortality	n. 死亡率
mortgage	n. 抵押，抵押借款 vt. 抵押
Moslem	n. 穆斯林 adj. 穆斯林的
mosque	n. 清真寺
mosquito	n. 蚊子
moss	n. 苔藓，地衣
most	det,pron. 最多的 adv. 最，很
mostly	adv. 主要的，大部分
motel	n. 汽车游客旅馆
mother	n. 母亲，妈妈
motion	v. 打手势， 示意 n. 运动；手势，眼色，动作；提议
motivate	vt. 作为…的动机； 激励， 激发
motivation	n. 动力，积极性
motive	adj. 发动的，运动的
motor	n. 发动机， 电动车
motorway	n. 汽车道，快车路
mould	n. 霉，霉菌；模型，铸模；性格，气质 vt. 用模子做， 浇铸； 使形成， 把…铸造成
mount	v. 登上；发起；安放；增加，加剧 n. 山， 峰
mountain	n. 山，山岳；山脉
mountainous	adj. 多山的；山一般的
mourn	v. 哀悼； 感到痛心
mournful	adj. 悲哀的；令人惋惜的
mouse	n. 鼠，耗子
mouth	n. 嘴，口，口腔
mouthful	n. 满口，一口
move	v. 移动；感动 n. 动
movement	n. 动作，活动；移动
movie	n. 电影；电影院
much	adv. 非常，很 det. 许多的
mud	n. 软泥，泥浆
muddy	adj. 泥泞的，沾满烂泥的；灰暗的，暗淡的；模糊的，糊涂的 vt. 使沾上烂泥； 使显得扑朔迷离
mug	n. 大杯 vt. 对…行凶抢劫
multicultural	adj. 融合多种文化的
multiple	adj. 复合的；多重的，多样的 n. 倍数
multiplication	n. 乘法；增加
multiply	vt. 增加， 繁殖； 乘
multitude	n. 大量， 许多； 大众， 民众
municipal	adj. 市的， 市政的
murder	n. 谋杀，凶杀；谋杀罪 v. 谋杀；杀害
murderer	n. 杀人犯，凶手
murmur	n&v. 小声说； 小声抱怨， 咕哝； 发出连续而低沉的声音
muscle	n. 肌肉， 体力； 力量， 实力
muscular	adj. 肌肉发达的， 强壮的； 肌肉的
muse	v. 沉思，默想，冥想
museum	n. 博物馆；展览馆
mushroom	vi. 迅速成长 n. 蘑菇
music	n. 音乐，乐曲；乐谱
musical	adj. 音乐的
musician	n. 音乐家；作曲家
must	v. 必须；必然要
mustard	n. 芥子，芥末
mute	adj. 缄默的，无声的；哑的，不会说话的；不发音的 vt. 消除， 减轻
mutter	n&v. 轻声低语； 小声抱怨
mutton	n. 羊肉
mutual	adj. 相互的； 共同的
mutually	adv. 互相地
my	det. 我的
myself	pron. 我自己；我亲自
mysterious	adj. 神秘的；难以理解的
mysteriously	adv. 神秘地
mystery	n. 神秘小说，侦探小说
myth	n. 杜撰出来的人； 神话
nail	n. 钉；指甲 v. 钉
naive	adj. 幼稚的； 天真的； 轻信的
naked	adj. 裸体的； 无遮蔽的
name	n. 名字；名誉 v. 说出
namely	adv. 即， 也就是
nap	n. 小睡，打盹，瞌睡
napkin	n. 餐巾（纸）
narration	n. 叙述；故事；叙述法
narrative	n. 叙述文， 故事； 叙述， 讲述
narrow	adj. 狭的，狭窄的
nasty	adj. 令人讨厌的， 令人厌恶的； 难弄的， 困难的； 严重的， 恶劣的， 险恶的； 下流的， 道德败坏的
nation	n. 国家；民族
national	adj. 民族的；国家的
nationality	n. 国籍；民族，族
native	adj. 本土的 n. 本地人
natural	adj. 自然界的；天然的
naturally	adv. 当然； 天然地； 天生地
nature	n. 大自然； 本性； 性质
naughty	adj. 顽皮的，淘气的
naval	adj. 海军的，军舰的
navigate	v. 航行，驾驶
navigation	n. 航行， 航海， 航空； 导航， 领航
navy	n. 海军
near	adv. 近，接近 adj. 近的
nearby	adj. 附近的 adv. 在附近
nearly	adv. 差不多
neat	adj. 整洁的
necessarily	adv. 必要地； 必然
necessary	adj. 必要的；必然的
necessitate	vt. 成为必要， 需要
necessity	n. 必需品； 必要性， 需要
neck	n. 颈，脖子
necklace	n. 项链，项圈
need	v. 需要
needle	n. 针；编织针
needless	adj. 不需要的
needy	adj. 贫穷的
negative	adj. 否定的，消极的；负的，阴性的 n. 负片， 底片； 负数
neglect	n&vt. 忽视， 忽略； 疏忽
negligible	adj. 可忽略不计的， 微不足道的
negotiate	v. 洽谈， 协商； 顺利通过， 成功越过； 协商， 谈判
negotiation	n. 协商
Negro	n. 黑人
neighborhood	n. 附近
neighbour	n. 邻居，邻人；邻国
neighbourhood	n. 附近地区（的居民）；邻近
neighbouring	adj. 邻近的，接壤的
neither	adj. （两者）都不的
nephew	n. 侄子， 外甥
nerve	n. 神经； 勇敢， 胆量
nervous	adj. 神经的；易激动的
nest	v. 筑巢 n. 巢，窝，穴
net	n. 网，网状物；互联网
network	n. 网状物； 广播网， 电视网； 网络
neutral	adj. 中立的， 中性的
neutrality	n. 中立
neutron	n. 中子
never	adv. 永不，决不；不
nevertheless	conj. 然而 adv. 仍然
new	adj. 新的；新近出现的
newly	adv. 新近，最近
news	n. 新闻；消息
newspaper	n. 报纸，报
newsstand	n. 报摊， 杂志摊
next	adj. 紧接的；贴近的
nice	adj. 美好的，令人愉快的
nickel	n. 镍； 五分镍币， 五分钱
nickname	n. 绰号，诨名 vt. 给…起绰号
niece	n. 侄女， 外甥女
night	n. 夜，夜间
nightmare	n. 噩梦； 可怕的事物， 无法摆脱的恐惧
nil	n. 无， 零
nine	num. 九，九个
nineteen	num. 十九，十九个
ninety	num. 九十，九十个
ninth	num. 第九 n. 九分之一
nitrogen	n. 氮
no	adv. 不；并不 adj. 没有
noble	adj. 贵族的；高尚的
nobody	pron. 谁也不；无人
nod	v. 点（头）；点头表示
noise	n. 喧闹声；响声；噪声
noisy	adj. 喧闹的；嘈杂的
nominal	adj. 名义上的， 有名无实的； 很少的， 象征性的； 名词性的
nominate	vt. 提名， 任命； 推荐， 指定
none	pron. 没有人；没有一点 adv. 毫不
nonetheless	adv. 尽管如此， 依然， 然而
nonsense	n. 胡说， 废话； 冒失的行动
noon	n. 正午，中午
nor	conj. 既不…也不…；也不
norm	n. 标准， 规范； 准则
normal	adj. 正常的， 平常的； 正规的， 规范的
normalization	n. 正常化，标准化
normally	adv. 通常； 正常地
north	n. 北，北方 adj. 北方的
northeast	n. 东北 adj. 位于东北的
northern	adj. 北方的，北部的
northwest	n. 西北 adj. 位于西北的
nose	n. 突出部分（如船头等）
not	adv. 不，没有
notable	adj. 值得注意的，显著的；著名的 n. 名人， 要人
notably	adv. 显著地，尤其
notation	n. 记号， 标记法
note	n. 笔记；便条；注释
notebook	n. 笔记本，期票簿
noted	adj. 著名的，知名的
nothing	n. 没有东西 adv. 毫不
notice	v. 注意 n. 注意；通知
noticeable	adj. 显而易见的
notification	n. 通知， 告示； 通知书
notify	vt. 通知， 告知； 报告
notion	n. 概念， 观念； 意图， 想法， 念头
notorious	adj. 臭名昭著的， 声名狼藉的
notoriously	adv. 臭名昭著地
notwithstanding	prep. 尽管，虽然
nought	n. 无，零
noun	n. 名词
nourish	vt. 养育， 喂养， 滋养； 怀有， 增强
nourishment	n. 食物；营养（情况）
novel	n. 小说 adj. 新的
novelty	n. 新奇事物； 新奇， 新奇感， 新奇性； 新颖小巧而廉价的物品
November	n. 十一月
now	adv. 现在；立刻
nowadays	adv. 现今，现在
nowhere	adv. 任何地方都不
nuclear	adj. 核子的， 核能的， 核武器的； 核心的
nucleus	n. 核，（原子）核；核心
nuisance	n. 讨厌的人； 麻烦事
number	v. 共计，达…之数
numerical	adj. 数字的； 用数字表示的； 数值的
numerous	adj. 为数众多的；许多
nun	n. 修女，尼姑
nurse	n. 护士；保姆 v. 看护
nursery	n. 托儿所， 保育室； 苗圃
nurture	n&vt. 养育， 培育， 滋养
nut	n. 坚果，干果；螺母
nutrition	n. 营养
nutritious	adj. 有营养的
nylon	n. 尼龙，耐纶
oak	n. 栎树， 橡树； 栎木， 橡木
oar	n. 浆，橹
oath	n. 誓言， 誓约； 咒骂， 诅咒语
obedience	n. 服从，顺从
obedient	adj. 服从的， 顺从的
obesity	n. 过度肥胖
obey	v. 顺从， 服从
object	vi. 反对， 不赞成 n. 实物， 物体； 目的， 目标； 对象， 客体； 宾语
objection	n. 反对， 异议； 反对的理由
objective	adj. 客观的， 无偏见的 n. 目标，目的
obligation	n. 义务，职责，责任
oblige	vt. 迫使； 施恩于， 帮…的忙； 使感激
obscene	adj. 淫秽的， 下流的； 可憎的， 可恶的
obscure	adj. 不著名的，不重要的；费解的，模糊不清的 vt. 使变糊， 掩盖
obscurity	n. 默默无闻
observation	n. 注意， 观察； 言论， 评论； 观察资料
observe	vt. 注意到， 观察； 评说； 遵守
observer	n. 观察员， 观察者
obstacle	n. 障碍， 障碍物； 妨害
obstinate	adj. 固执的；顽强的
obtain	vi. 通用， 流行； 存在 vt. 获得
obvious	adj. 明显的，显而易见的
obviously	adv. 明显地，显然地
occasion	n. 场合，时刻；重大活动；时机；起因 vt. 引起
occasional	adj. 偶尔的， 间或发生的
occasionally	adv. 偶然；非经常地
occupation	n. 占领， 占据； 职业； 从事的活动， 消遣
occupy	vt. 占领； 占； 占有
occur	vi. 发生， 出现， 存在； 被想起， 被想到
occurrence	n. 发生， 出现； 发生的事件
ocean	n. 海洋；洋
Oceania	n. 大洋洲
October	n. 十月
odd	adj. 奇特的； 临时的； 奇数的； 单只的； 剩余的， 挂零的
odds	n. 可能性
odor	n. 气味
odour	n. 气味，味道
of	prep. …的；由于
off	adv. （离）开；（停）止
offence	n. 犯罪，犯规；冒犯
offend	vt. 冒犯， 伤害…的感情； 使厌恶； 违反
